"Per capita personal income&nbsp;2/","FIPS","AreaName","1969  ","1970  ","1971  ","1972  ","1973  ","1974  ","1975  ","1976  ","1977  ","1978  ","1979  ","1980  ","1981  ","1982  ","1983  ","1984  ","1985  ","1986  ","1987  ","1988  ","1989  ","1990  ","1991  ","1992  ","1993  ","1994  ","1995  ","1996  ","1997  ","1998  ","1999  ","2000  ","2001  ","2002  ","2003  ","2004  ","2005  ","2006  ","2007  ","2008  " 
"400","00","United States 3/",3836 ,4084 ,4340 ,4717 ,5230 ,5708 ,6172 ,6754 ,7402 ,8243 ,9138 ,10091 ,11209 ,11901 ,12583 ,13807 ,14637 ,15338 ,16137 ,17244 ,18402 ,19354 ,19818 ,20799 ,21385 ,22297 ,23262 ,24442 ,25654 ,27258 ,28333 ,30318 ,31149 ,31470 ,32284 ,33899 ,35447 ,37728 ,39430 ,40208 
"400","01","Alabama",2734 ,2962 ,3206 ,3526 ,3943 ,4336 ,4766 ,5313 ,5794 ,6464 ,7139 ,7825 ,8659 ,9152 ,9772 ,10752 ,11504 ,12080 ,12735 ,13639 ,14776 ,15618 ,16337 ,17264 ,17766 ,18656 ,19551 ,20245 ,21118 ,22217 ,22961 ,24070 ,25097 ,25816 ,26753 ,28405 ,29889 ,31484 ,32883 ,33768 
"400","02","Alaska 3/",4769 ,5248 ,5583 ,5940 ,6805 ,8130 ,10666 ,12109 ,12388 ,12495 ,13199 ,14975 ,16528 ,18819 ,18843 ,19395 ,20104 ,19673 ,19244 ,19848 ,21525 ,22594 ,23092 ,23706 ,24478 ,25186 ,25778 ,26179 ,27197 ,27943 ,28538 ,30534 ,32274 ,33160 ,33543 ,34898 ,36812 ,38898 ,41153 ,44039 
"400","04","Arizona",3495 ,3829 ,4131 ,4473 ,4904 ,5301 ,5535 ,6061 ,6615 ,7532 ,8509 ,9484 ,10582 ,10882 ,11630 ,12803 ,13636 ,14335 ,14896 ,15583 ,16281 ,16806 ,17253 ,17762 ,18371 ,19385 ,20164 ,21159 ,22231 ,23722 ,24583 ,26261 ,26937 ,27192 ,27859 ,29567 ,31563 ,33498 ,34413 ,34335 
"400","05","Arkansas",2616 ,2840 ,3088 ,3409 ,3978 ,4368 ,4668 ,5157 ,5657 ,6469 ,7020 ,7521 ,8508 ,8947 ,9463 ,10486 ,11128 ,11625 ,12023 ,12855 ,13727 ,14402 ,15103 ,16204 ,16692 ,17496 ,18260 ,19170 ,19846 ,20798 ,21556 ,22578 ,23883 ,24299 ,25475 ,26905 ,27981 ,29573 ,31646 ,32397 
"400","06","California",4532 ,4801 ,5027 ,5451 ,5944 ,6557 ,7136 ,7835 ,8572 ,9572 ,10719 ,11928 ,13144 ,13742 ,14517 ,15913 ,16777 ,17526 ,18447 ,19515 ,20448 ,21380 ,21734 ,22439 ,22744 ,23448 ,24498 ,25788 ,27063 ,29195 ,30679 ,33394 ,33869 ,34006 ,34922 ,36830 ,38670 ,41404 ,43221 ,43641 
"400","08","Colorado",3687 ,4040 ,4399 ,4774 ,5283 ,5837 ,6322 ,6880 ,7535 ,8485 ,9502 ,10714 ,12078 ,12904 ,13538 ,14669 ,15267 ,15713 ,16205 ,17072 ,18398 ,19377 ,20123 ,21102 ,22152 ,23237 ,24575 ,25964 ,27402 ,29174 ,30919 ,33979 ,35305 ,35032 ,35160 ,36649 ,38539 ,40912 ,42444 ,42985 
"400","09","Connecticut",4821 ,5071 ,5295 ,5692 ,6226 ,6794 ,7252 ,7878 ,8684 ,9656 ,10855 ,12321 ,13780 ,14849 ,15737 ,17496 ,18635 ,19895 ,21573 ,23557 ,25397 ,26198 ,26430 ,28287 ,29051 ,29891 ,31366 ,32835 ,34877 ,37226 ,38718 ,41921 ,43614 ,43346 ,43730 ,46417 ,48485 ,52702 ,55609 ,56272 
"400","10","Delaware",4406 ,4594 ,4888 ,5297 ,5858 ,6336 ,6740 ,7345 ,7892 ,8624 ,9482 ,10756 ,11827 ,12684 ,13468 ,14748 ,15900 ,16589 ,17604 ,18819 ,20559 ,21209 ,22073 ,22500 ,22885 ,23487 ,24409 ,25808 ,26574 ,28397 ,29072 ,31007 ,32410 ,33212 ,33879 ,35753 ,37062 ,39168 ,40068 ,40519 
"400","11","District of Columbia",4483 ,4970 ,5497 ,6026 ,6470 ,7252 ,8034 ,8728 ,9639 ,10367 ,11224 ,12218 ,13381 ,14570 ,15379 ,16986 ,18051 ,18932 ,20046 ,22157 ,23843 ,26015 ,27333 ,28694 ,29883 ,30804 ,31291 ,32981 ,34807 ,36503 ,37093 ,40485 ,44870 ,45442 ,47529 ,51458 ,55268 ,60080 ,63881 ,66119 
"400","12","Florida",3658 ,3998 ,4282 ,4696 ,5217 ,5591 ,5901 ,6360 ,6972 ,7841 ,8731 ,9921 ,11101 ,11682 ,12640 ,13718 ,14643 ,15391 ,16193 ,17291 ,18734 ,19437 ,19776 ,20474 ,21197 ,21919 ,23014 ,24050 ,24919 ,26453 ,27329 ,29079 ,29834 ,30530 ,31364 ,33659 ,35769 ,38308 ,39204 ,39267 
"400","13","Georgia",3149 ,3379 ,3650 ,4023 ,4481 ,4854 ,5157 ,5687 ,6200 ,6951 ,7656 ,8408 ,9393 ,10041 ,10857 ,12148 ,13052 ,13917 ,14679 ,15721 ,16658 ,17563 ,18110 ,19139 ,19866 ,20945 ,22023 ,23340 ,24287 ,25680 ,26772 ,28531 ,29205 ,29272 ,29683 ,30639 ,32176 ,33473 ,34650 ,34893 
"400","15","Hawaii 3/",4532 ,5077 ,5319 ,5671 ,6128 ,6911 ,7396 ,7880 ,8338 ,9111 ,10098 ,11394 ,12235 ,12780 ,13883 ,14909 ,15591 ,16288 ,17118 ,18496 ,20285 ,21818 ,22763 ,24014 ,24566 ,24847 ,25160 ,25253 ,25892 ,26546 ,27467 ,29073 ,29506 ,30533 ,31520 ,33787 ,35851 ,38520 ,40907 ,42055 
"400","16","Idaho",3264 ,3539 ,3739 ,4133 ,4686 ,5353 ,5573 ,6100 ,6479 ,7253 ,7796 ,8637 ,9378 ,9622 ,10331 ,10988 ,11497 ,11774 ,12428 ,13437 ,14632 ,15603 ,16015 ,17063 ,18110 ,18865 ,19665 ,20525 ,20961 ,22234 ,23269 ,24684 ,25656 ,26029 ,26472 ,28453 ,29642 ,31668 ,32905 ,33074 
"400","17","Illinois",4333 ,4568 ,4867 ,5262 ,5892 ,6452 ,7008 ,7620 ,8359 ,9222 ,10140 ,10980 ,12150 ,12868 ,13420 ,14760 ,15524 ,16304 ,17236 ,18551 ,19672 ,20835 ,21148 ,22553 ,23068 ,24181 ,25382 ,26806 ,28130 ,29746 ,30619 ,32636 ,33183 ,33696 ,34569 ,35957 ,37168 ,39549 ,41569 ,42347 
"400","18","Indiana",3692 ,3791 ,4086 ,4439 ,5083 ,5423 ,5837 ,6504 ,7167 ,7950 ,8726 ,9353 ,10287 ,10673 ,11184 ,12402 ,13065 ,13739 ,14522 ,15424 ,16668 ,17454 ,17865 ,19099 ,19885 ,20973 ,21644 ,22655 ,23607 ,25169 ,25899 ,27461 ,28054 ,28534 ,29588 ,30645 ,31302 ,32881 ,33756 ,34605 
"400","19","Iowa",3665 ,3878 ,4025 ,4498 ,5409 ,5603 ,6231 ,6596 ,7267 ,8379 ,8994 ,9573 ,10840 ,11236 ,11529 ,12815 ,13370 ,13993 ,14786 ,15206 ,16484 ,17350 ,17700 ,18789 ,18700 ,20367 ,21006 ,22787 ,23747 ,24898 ,25539 ,27295 ,27900 ,28832 ,29444 ,31674 ,32306 ,33853 ,35699 ,37402 
"400","20","Kansas",3555 ,3824 ,4152 ,4619 ,5275 ,5710 ,6206 ,6716 ,7279 ,8020 ,9119 ,9939 ,11197 ,12056 ,12475 ,13629 ,14312 ,14957 ,15567 ,16207 ,17008 ,18034 ,18605 ,19710 ,20371 ,21235 ,21870 ,23255 ,24504 ,26032 ,26826 ,28479 ,29670 ,29759 ,30822 ,31918 ,33130 ,35756 ,37389 ,38820 
"400","21","Kentucky",2964 ,3176 ,3383 ,3705 ,4132 ,4595 ,4940 ,5457 ,6075 ,6758 ,7603 ,8113 ,8992 ,9552 ,9861 ,11035 ,11503 ,11819 ,12485 ,13553 ,14530 ,15360 ,16142 ,17150 ,17554 ,18308 ,18978 ,19982 ,21021 ,22244 ,23032 ,24786 ,25336 ,25838 ,26348 ,27518 ,28557 ,30129 ,31206 ,32076 
"400","22","Louisiana",2886 ,3089 ,3310 ,3576 ,3977 ,4493 ,4958 ,5549 ,6107 ,6912 ,7744 ,8767 ,9991 ,10561 ,10871 ,11595 ,12024 ,11998 ,12219 ,13029 ,13963 ,15171 ,15931 ,16857 ,17559 ,18641 ,19367 ,20155 ,21088 ,22119 ,22458 ,23570 ,25373 ,25948 ,26708 ,28066 ,30100 ,33750 ,35363 ,36424 
"400","23","Maine",3138 ,3413 ,3590 ,3858 ,4308 ,4747 ,5026 ,5698 ,6116 ,6700 ,7412 ,8333 ,9164 ,9901 ,10548 ,11628 ,12462 ,13406 ,14434 ,15593 ,16683 ,17211 ,17457 ,18214 ,18690 ,19552 ,20372 ,21507 ,22566 ,24171 ,25151 ,26697 ,28204 ,28898 ,29939 ,31474 ,32022 ,33735 ,35078 ,36457 
"400","24","Maryland",4199 ,4558 ,4881 ,5281 ,5805 ,6368 ,6890 ,7534 ,8174 ,9030 ,9971 ,11164 ,12335 ,13334 ,14281 ,15701 ,16935 ,17932 ,19067 ,20468 ,21733 ,22681 ,23282 ,24112 ,24805 ,25780 ,26618 ,27689 ,29000 ,30742 ,32216 ,34681 ,36272 ,37164 ,38212 ,40625 ,42601 ,45121 ,47050 ,48378 
"400","25","Massachusetts",4185 ,4472 ,4743 ,5102 ,5541 ,6011 ,6453 ,6993 ,7611 ,8422 ,9371 ,10570 ,11744 ,12892 ,13942 ,15639 ,16798 ,18003 ,19397 ,21127 ,22095 ,22797 ,23314 ,24422 ,25182 ,26393 ,27662 ,29279 ,30911 ,33006 ,34671 ,38213 ,39500 ,39512 ,40161 ,42123 ,43897 ,47330 ,49885 ,51254 
"400","26","Michigan",4147 ,4198 ,4501 ,4970 ,5552 ,5926 ,6307 ,7092 ,7950 ,8800 ,9629 ,10291 ,11075 ,11522 ,12284 ,13588 ,14685 ,15520 ,15964 ,16894 ,18072 ,18719 ,19129 ,20179 ,21046 ,22593 ,23428 ,24279 ,25349 ,26903 ,27858 ,29392 ,29977 ,30188 ,31214 ,31650 ,32265 ,33198 ,34188 ,34949 
"400","27","Minnesota",3775 ,4050 ,4270 ,4626 ,5421 ,5824 ,6231 ,6725 ,7538 ,8420 ,9312 ,10229 ,11258 ,12015 ,12649 ,14250 ,15023 ,15810 ,16737 ,17351 ,18744 ,19710 ,20129 ,21306 ,21601 ,23003 ,24144 ,25871 ,27095 ,29273 ,30562 ,32598 ,33345 ,34076 ,35289 ,37079 ,37991 ,40015 ,41764 ,43037 
"400","28","Mississippi",2403 ,2628 ,2855 ,3194 ,3597 ,3920 ,4207 ,4746 ,5233 ,5768 ,6491 ,7005 ,7842 ,8231 ,8570 ,9377 ,9857 ,10174 ,10799 ,11566 ,12499 ,13117 ,13749 ,14651 ,15426 ,16512 ,17176 ,18079 ,18880 ,19947 ,20555 ,21556 ,22819 ,23148 ,23999 ,25169 ,26836 ,28010 ,29549 ,30399 
"400","29","Missouri",3569 ,3855 ,4118 ,4453 ,4935 ,5280 ,5759 ,6313 ,6986 ,7753 ,8632 ,9306 ,10383 ,11110 ,11808 ,13011 ,13836 ,14471 ,15139 ,15926 ,16928 ,17582 ,18320 ,19327 ,19951 ,21035 ,21832 ,22901 ,24104 ,25419 ,26218 ,27892 ,28624 ,29266 ,30239 ,31435 ,32278 ,34062 ,35308 ,36631 
"400","30","Montana",3294 ,3624 ,3790 ,4350 ,5000 ,5367 ,5814 ,6202 ,6622 ,7655 ,8192 ,9038 ,10187 ,10628 ,11054 ,11617 ,11762 ,12350 ,12848 ,13241 ,14569 ,15346 ,16250 ,16859 ,17787 ,17989 ,18546 ,19261 ,20033 ,21459 ,22045 ,23470 ,25315 ,25685 ,27000 ,28613 ,30141 ,32204 ,33948 ,34644 
"400","31","Nebraska",3571 ,3793 ,4119 ,4525 ,5259 ,5452 ,6182 ,6445 ,6961 ,8030 ,8646 ,9155 ,10579 ,11361 ,11749 ,13040 ,13756 ,14232 ,14947 ,15915 ,16790 ,17948 ,18523 ,19403 ,19836 ,21024 ,22008 ,23853 ,24359 ,25859 ,27017 ,28600 ,29906 ,30329 ,32141 ,33279 ,34331 ,35726 ,37908 ,39150 
"400","32","Nevada",4530 ,4932 ,5218 ,5553 ,6093 ,6479 ,7029 ,7731 ,8519 ,9718 ,10639 ,11679 ,12711 ,13104 ,13600 ,14501 ,15310 ,15992 ,16713 ,18052 ,19165 ,20042 ,20777 ,22099 ,22833 ,23892 ,24914 ,26239 ,27118 ,28624 ,29650 ,30985 ,31186 ,31336 ,32710 ,35350 ,38231 ,39376 ,41145 ,41182 
"400","33","New Hampshire",3745 ,3883 ,4091 ,4411 ,4863 ,5262 ,5602 ,6249 ,6866 ,7730 ,8686 ,9816 ,10985 ,11979 ,13015 ,14455 ,15663 ,16819 ,18088 ,19361 ,20235 ,20236 ,21056 ,21861 ,22311 ,23642 ,24845 ,26649 ,27546 ,29664 ,31036 ,34089 ,34716 ,35126 ,35699 ,37612 ,38412 ,40999 ,42831 ,43623 
"400","34","New Jersey",4500 ,4813 ,5113 ,5513 ,6027 ,6561 ,7053 ,7699 ,8439 ,9359 ,10372 ,11676 ,12986 ,13997 ,15027 ,16506 ,17571 ,18618 ,19952 ,21763 ,23235 ,24354 ,24754 ,26270 ,26799 ,27593 ,29022 ,30613 ,32326 ,34212 ,35360 ,38666 ,39680 ,39964 ,40504 ,42406 ,43994 ,47655 ,50265 ,51358 
"400","35","New Mexico",2920 ,3189 ,3416 ,3748 ,4119 ,4551 ,5050 ,5520 ,6059 ,6802 ,7545 ,8331 ,9286 ,9916 ,10434 ,11233 ,11959 ,12217 ,12638 ,13227 ,14009 ,14823 ,15577 ,16260 ,17039 ,17772 ,18617 ,19289 ,19968 ,21059 ,21461 ,22752 ,24796 ,25063 ,25773 ,27300 ,28931 ,30587 ,32163 ,33430 
"400","36","New York",4573 ,4868 ,5166 ,5528 ,5963 ,6474 ,6970 ,7469 ,8132 ,8928 ,9819 ,10985 ,12260 ,13321 ,14267 ,15727 ,16761 ,17833 ,18978 ,20720 ,22202 ,23710 ,23685 ,24693 ,25089 ,25807 ,27106 ,28497 ,30012 ,31416 ,32625 ,34629 ,35458 ,35417 ,36165 ,38398 ,40678 ,43973 ,47612 ,48753 
"400","37","North Carolina",3046 ,3273 ,3500 ,3890 ,4353 ,4734 ,5048 ,5581 ,6041 ,6744 ,7401 ,8183 ,9142 ,9711 ,10500 ,11771 ,12592 ,13393 ,14241 ,15341 ,16454 ,17194 ,17691 ,18886 ,19704 ,20630 ,21615 ,22714 ,23945 ,25301 ,26326 ,27916 ,28394 ,28479 ,28979 ,30586 ,32066 ,33640 ,34952 ,35344 
"400","38","North Dakota",3099 ,3257 ,3715 ,4412 ,6207 ,6136 ,6390 ,6206 ,6421 ,8095 ,8290 ,7894 ,10300 ,11009 ,11417 ,12268 ,12728 ,13025 ,13589 ,12653 ,14371 ,15866 ,16167 ,17639 ,17696 ,19156 ,19004 ,21279 ,20854 ,23177 ,23502 ,25625 ,26699 ,27369 ,29761 ,30339 ,32353 ,33602 ,36695 ,39870 
"400","39","Ohio",3911 ,4088 ,4322 ,4688 ,5209 ,5724 ,6101 ,6751 ,7492 ,8283 ,9172 ,10022 ,10922 ,11470 ,12173 ,13437 ,14249 ,14873 ,15529 ,16549 ,17672 ,18638 ,19013 ,20025 ,20676 ,21818 ,22653 ,23545 ,24912 ,26418 ,27293 ,28694 ,29280 ,29855 ,30698 ,31617 ,32498 ,34093 ,35307 ,36021 
"400","40","Oklahoma",3204 ,3475 ,3710 ,4016 ,4515 ,4976 ,5493 ,5974 ,6570 ,7343 ,8395 ,9487 ,10943 ,11816 ,11737 ,12618 ,13171 ,13312 ,13455 ,14166 ,15192 ,16077 ,16434 ,17269 ,17772 ,18427 ,18973 ,19936 ,20899 ,21949 ,22757 ,24606 ,26228 ,26232 ,26929 ,28810 ,30492 ,33280 ,34336 ,35985 
"400","41","Oregon",3675 ,3927 ,4197 ,4605 ,5109 ,5701 ,6185 ,6898 ,7526 ,8409 ,9295 ,10086 ,10802 ,11116 ,11849 ,12811 ,13429 ,14059 ,14724 ,15776 ,16956 ,17895 ,18469 ,19201 ,20077 ,21219 ,22531 ,23751 ,24854 ,26016 ,27016 ,28719 ,29238 ,29761 ,30549 ,31598 ,32488 ,34623 ,35712 ,36297 
"400","42","Pennsylvania",3804 ,4069 ,4289 ,4678 ,5155 ,5692 ,6182 ,6796 ,7473 ,8262 ,9142 ,10040 ,11100 ,11880 ,12448 ,13468 ,14318 ,15017 ,15857 ,17067 ,18412 ,19433 ,20171 ,21050 ,21655 ,22355 ,23226 ,24384 ,25566 ,27367 ,28348 ,30111 ,30704 ,31506 ,32427 ,33852 ,34978 ,37326 ,39058 ,40140 
"400","44","Rhode Island",3847 ,4098 ,4285 ,4613 ,4955 ,5385 ,5851 ,6402 ,6975 ,7636 ,8497 ,9645 ,10733 ,11540 ,12389 ,13629 ,14538 ,15445 ,16387 ,17909 ,19389 ,19821 ,19981 ,20820 ,21600 ,22199 ,23364 ,24299 ,25621 ,26945 ,27741 ,29485 ,31166 ,32158 ,33469 ,35090 ,36233 ,38392 ,40219 ,41368 
"400","45","South Carolina",2821 ,3055 ,3265 ,3594 ,4016 ,4451 ,4730 ,5255 ,5668 ,6301 ,6988 ,7736 ,8606 ,9078 ,9790 ,10900 ,11590 ,12194 ,12939 ,13906 ,14931 ,15844 ,16256 ,17010 ,17651 ,18579 ,19384 ,20359 ,21287 ,22573 ,23550 ,25082 ,25653 ,26080 ,26704 ,27933 ,29270 ,31031 ,32065 ,32666 
"400","46","South Dakota",3030 ,3286 ,3564 ,4089 ,5175 ,5187 ,5706 ,5600 ,6352 ,7302 ,8059 ,8054 ,9410 ,9946 ,10293 ,11621 ,11898 ,12452 ,13133 ,13631 ,14653 ,16075 ,16666 ,17740 ,18248 ,19503 ,19610 ,21672 ,22085 ,23736 ,24816 ,26428 ,27870 ,28073 ,30452 ,32175 ,33150 ,33767 ,36489 ,38661 
"400","47","Tennessee",2957 ,3176 ,3439 ,3800 ,4284 ,4685 ,5026 ,5570 ,6089 ,6862 ,7555 ,8227 ,9120 ,9696 ,10293 ,11413 ,12152 ,12895 ,13754 ,14783 ,15718 ,16574 ,17242 ,18527 ,19331 ,20283 ,21339 ,22136 ,23031 ,24462 ,25370 ,26692 ,27535 ,28143 ,29026 ,30297 ,31360 ,32986 ,34287 ,34976 
"400","48","Texas",3364 ,3628 ,3840 ,4175 ,4659 ,5170 ,5738 ,6347 ,6943 ,7856 ,8832 ,9870 ,11320 ,11965 ,12348 ,13377 ,14110 ,14182 ,14453 ,15245 ,16165 ,17260 ,17763 ,18765 ,19413 ,20161 ,21070 ,22260 ,23812 ,25376 ,26399 ,28504 ,29166 ,28935 ,29581 ,31073 ,33172 ,35275 ,36829 ,37774 
"400","49","Utah",3105 ,3389 ,3649 ,3971 ,4316 ,4738 ,5173 ,5755 ,6344 ,7055 ,7792 ,8492 ,9347 ,9953 ,10506 ,11371 ,11926 ,12322 ,12652 ,13162 ,13941 ,14847 ,15479 ,16135 ,16845 ,17775 ,18765 ,19899 ,21001 ,22188 ,22943 ,24519 ,25536 ,25648 ,25830 ,26827 ,28599 ,30320 ,31739 ,31944 
"400","50","Vermont",3380 ,3625 ,3848 ,4163 ,4528 ,4855 ,5203 ,5747 ,6153 ,6979 ,7756 ,8599 ,9650 ,10324 ,10930 ,11977 ,12867 ,13731 ,14755 ,15822 ,17195 ,17643 ,17869 ,18941 ,19446 ,20255 ,21057 ,22106 ,23168 ,24921 ,26268 ,28184 ,29482 ,30013 ,31013 ,32713 ,33416 ,36021 ,37717 ,38686 
"400","51","Virginia",3560 ,3792 ,4091 ,4486 ,4971 ,5485 ,5960 ,6549 ,7193 ,8025 ,8950 ,10107 ,11227 ,12095 ,12993 ,14298 ,15284 ,16188 ,17191 ,18442 ,19614 ,20312 ,20953 ,21842 ,22596 ,23534 ,24360 ,25354 ,26695 ,28199 ,29617 ,31641 ,33263 ,33776 ,35029 ,36912 ,38980 ,41367 ,43275 ,44224 
"400","53","Washington",4085 ,4189 ,4361 ,4713 ,5284 ,5892 ,6535 ,7165 ,7797 ,8820 ,9847 ,10810 ,11834 ,12435 ,13144 ,13972 ,14619 ,15422 ,16090 ,17055 ,18405 ,19637 ,20583 ,21581 ,22139 ,22981 ,23778 ,25280 ,26749 ,28821 ,30521 ,32407 ,32950 ,33107 ,33869 ,35986 ,36773 ,39623 ,42020 ,42857 
"400","54","West Virginia",2792 ,3109 ,3369 ,3673 ,4009 ,4438 ,4973 ,5468 ,6026 ,6667 ,7373 ,8066 ,8767 ,9340 ,9575 ,10355 ,10851 ,11212 ,11619 ,12532 ,13398 ,14436 ,15086 ,16081 ,16549 ,17269 ,17817 ,18567 ,19373 ,20472 ,21049 ,22174 ,23610 ,24388 ,24916 ,25784 ,26684 ,28722 ,30144 ,31641 
"400","55","Wisconsin",3747 ,3981 ,4241 ,4601 ,5127 ,5619 ,6090 ,6679 ,7403 ,8247 ,9197 ,10085 ,10973 ,11573 ,12026 ,13112 ,13719 ,14424 ,15182 ,15953 ,17192 ,17986 ,18494 ,19674 ,20398 ,21550 ,22387 ,23509 ,24777 ,26619 ,27652 ,29140 ,30102 ,30809 ,31656 ,32736 ,33689 ,35665 ,37008 ,37767 
"400","56","Wyoming",3587 ,3910 ,4257 ,4692 ,5389 ,6150 ,6721 ,7224 ,8152 ,9366 ,10515 ,11668 ,12808 ,13349 ,12703 ,13416 ,14137 ,14244 ,14287 ,14821 ,16382 ,17910 ,18589 ,19344 ,20065 ,20741 ,21358 ,22233 ,23774 ,25496 ,27192 ,29280 ,31319 ,32082 ,33929 ,36274 ,39464 ,44700 ,46741 ,48608 
"400","91","New England",4175 ,4438 ,4674 ,5025 ,5477 ,5954 ,6376 ,6954 ,7586 ,8407 ,9381 ,10598 ,11800 ,12833 ,13770 ,15342 ,16440 ,17592 ,18958 ,20612 ,21848 ,22462 ,22867 ,24077 ,24773 ,25804 ,27048 ,28521 ,30087 ,32128 ,33581 ,36603 ,37979 ,38113 ,38788 ,40842 ,42391 ,45652 ,48027 ,49146 
"400","92","Mideast",4308 ,4606 ,4889 ,5272 ,5742 ,6273 ,6771 ,7346 ,8026 ,8845 ,9758 ,10874 ,12081 ,13048 ,13901 ,15241 ,16257 ,17209 ,18303 ,19874 ,21301 ,22542 ,22899 ,23939 ,24460 ,25217 ,26357 ,27691 ,29125 ,30776 ,31932 ,34183 ,35133 ,35509 ,36317 ,38317 ,40137 ,43156 ,45859 ,47001 
"400","93","Great Lakes",4034 ,4195 ,4473 ,4867 ,5447 ,5918 ,6360 ,7026 ,7780 ,8609 ,9483 ,10263 ,11215 ,11773 ,12394 ,13661 ,14479 ,15208 ,15921 ,16955 ,18117 ,19021 ,19407 ,20585 ,21273 ,22491 ,23404 ,24476 ,25699 ,27294 ,28187 ,29819 ,30441 ,30922 ,31843 ,32824 ,33717 ,35430 ,36793 ,37566 
"400","94","Plains",3592 ,3849 ,4104 ,4514 ,5265 ,5566 ,6073 ,6492 ,7154 ,8074 ,8886 ,9540 ,10757 ,11451 ,11975 ,13279 ,13984 ,14628 ,15375 ,15986 ,17121 ,18048 ,18589 ,19674 ,20071 ,21325 ,22119 ,23661 ,24692 ,26299 ,27231 ,29018 ,29896 ,30496 ,31667 ,33154 ,34096 ,35926 ,37647 ,39115 
"400","95","Southeast",3078 ,3325 ,3580 ,3941 ,4406 ,4825 ,5185 ,5713 ,6255 ,7009 ,7778 ,8629 ,9638 ,10230 ,10918 ,12024 ,12794 ,13439 ,14183 ,15229 ,16353 ,17186 ,17757 ,18709 ,19403 ,20305 ,21233 ,22230 ,23215 ,24561 ,25481 ,27050 ,27996 ,28477 ,29255 ,30858 ,32514 ,34516 ,35800 ,36336 
"400","96","Southwest",3325 ,3599 ,3826 ,4159 ,4633 ,5119 ,5635 ,6206 ,6794 ,7676 ,8649 ,9672 ,11050 ,11684 ,12057 ,13070 ,13792 ,13971 ,14277 ,15035 ,15930 ,16902 ,17394 ,18284 ,18917 ,19693 ,20536 ,21639 ,22997 ,24467 ,25407 ,27372 ,28227 ,28133 ,28793 ,30366 ,32378 ,34499 ,35892 ,36745 
"400","97","Rocky Mountain",3441 ,3765 ,4053 ,4451 ,4964 ,5494 ,5930 ,6461 ,7049 ,7950 ,8789 ,9787 ,10909 ,11542 ,12055 ,12962 ,13497 ,13907 ,14359 ,15087 ,16278 ,17248 ,17932 ,18792 ,19729 ,20614 ,21672 ,22829 ,23993 ,25528 ,26836 ,29111 ,30419 ,30447 ,30818 ,32289 ,34061 ,36312 ,37799 ,38275 
"400","98","Far West 3/",4412 ,4671 ,4898 ,5308 ,5815 ,6435 ,7037 ,7734 ,8434 ,9412 ,10506 ,11654 ,12796 ,13395 ,14162 ,15425 ,16241 ,16974 ,17823 ,18888 ,19930 ,20913 ,21381 ,22154 ,22556 ,23307 ,24315 ,25582 ,26834 ,28805 ,30236 ,32678 ,33170 ,33368 ,34270 ,36176 ,37869 ,40481 ,42331 ,42845 
"Source: Regional Economic Information System, Bureau of Economic Analysis, U.S. Department of Commerce"
"=HYPERLINK(""http://www.bea.gov/regional/docs/footnotes.cfm?tablename=SA1-3"",""SA1-3 Footnotes"")","http://www.bea.gov/regional/docs/footnotes.cfm?tablename=SA1-3"
"Regional Economic Information System"
"Bureau of Economic Analysis"
"'October 2009'"
