AreaKey,Latitude,Longitud,TotPop90,PctRural,PctBach,PctEld,PctFB,PctPov,PctBlack,ID,X,Y
13001,31.75339,-82.28558,15744,75.60,8.20,11.43,0.64,19.90,20.76,133,941396.60,3521764.00
13003,31.29486,-82.87474,6213,100.00,6.40,11.77,1.58,26.00,26.86,158,895553.00,3471916.00
13005,31.55678,-82.45115,9566,61.70,6.60,11.11,0.27,24.10,15.42,146,930946.40,3502787.00
13007,31.33084,-84.45401,3615,100.00,9.40,13.17,0.11,24.80,51.67,155,745398.60,3474765.00
13009,33.07193,-83.25085,39530,42.70,13.30,8.64,1.43,17.50,42.39,79,849431.30,3665553.00
13011,34.35270,-83.50054,10308,100.00,6.40,11.37,0.34,15.10,3.49,23,819317.30,3807616.00
13013,33.99347,-83.71181,29721,64.60,9.20,10.63,0.92,14.70,11.44,33,803747.10,3769623.00
13015,34.23840,-84.83918,55911,75.20,9.00,9.66,0.82,10.70,9.21,24,699011.50,3793408.00
13017,31.75940,-83.21976,16245,47.00,7.60,12.81,0.33,22.00,31.33,138,863020.80,3520432.00
13019,31.27424,-83.23179,14153,66.20,7.50,11.98,1.19,19.30,11.62,153,859915.80,3466377.00
13021,32.80451,-83.69915,149967,16.10,17.00,12.23,1.06,19.20,41.68,85,809736.90,3636468.00
13023,32.43552,-83.33121,10430,57.90,10.30,12.60,0.64,18.30,22.36,100,844270.10,3595691.00
13025,31.19702,-81.98323,11077,100.00,5.80,9.02,0.33,18.20,4.58,159,979288.90,3463849.00
13027,30.84653,-83.57726,15398,65.60,9.10,13.68,1.76,25.90,41.47,169,827822.00,3421638.00
13029,32.02037,-81.43763,15438,80.60,11.80,7.22,0.45,13.20,14.85,118,1023145.00,3554982.00
13031,32.39071,-81.74391,43125,63.20,19.90,9.56,1.16,27.50,25.95,97,994903.40,3600493.00
13033,33.05837,-81.99939,20579,72.30,9.60,10.60,0.43,30.30,52.19,71,971593.80,3671394.00
13035,33.28834,-83.95713,15326,73.40,7.20,10.41,0.72,15.60,35.48,65,782448.20,3684504.00
13037,31.52793,-84.61891,5013,100.00,10.10,15.94,0.10,31.80,58.89,149,724741.20,3492653.00
13039,30.91895,-81.63783,30167,47.10,13.50,4.78,2.14,11.50,20.19,165,1008480.00,3437933.00
13043,32.40134,-82.07498,7744,52.10,9.90,13.80,0.96,24.10,30.94,102,964264.90,3598842.00
13045,33.58276,-85.07903,71422,68.50,12.00,9.66,0.85,14.40,15.46,46,678778.60,3713250.00
13047,34.90222,-85.13643,42464,43.60,8.10,10.73,0.39,12.00,0.91,5,670055.90,3862318.00
13049,30.77890,-82.13993,8496,100.00,6.40,9.66,0.42,18.30,27.05,170,962612.30,3432769.00
13051,31.96840,-81.08524,216935,5.10,18.60,12.07,2.05,17.20,38.02,119,1059706.00,3556747.00
13053,32.34755,-84.78780,16934,13.70,20.20,1.46,6.74,10.40,30.94,103,704959.20,3577608.00
13055,34.47663,-85.34577,22242,77.40,5.90,14.22,0.11,14.60,8.61,17,653026.60,3813760.00
13057,34.24453,-84.47430,90204,57.80,18.40,6.71,1.57,6.10,1.77,25,734240.90,3794110.00
13059,33.95197,-83.36602,87594,17.60,37.50,8.04,4.47,27.00,26.23,38,832508.60,3762905.00
13061,31.62109,-84.99295,3364,100.00,11.20,16.62,0.45,35.70,60.76,144,695793.90,3495219.00
13063,33.54255,-84.35703,182052,4.40,14.70,5.55,4.23,8.60,23.82,54,745538.80,3711726.00
13065,30.91758,-82.70284,6160,58.60,6.70,10.52,0.11,26.40,27.29,164,908046.10,3428340.00
13067,33.94176,-84.57701,447745,5.80,33.00,6.08,4.12,5.60,9.84,36,724646.80,3757187.00
13069,31.54693,-82.85147,29592,64.60,11.10,10.52,1.49,22.50,25.46,143,894463.90,3492465.00
13071,31.18650,-83.76833,36645,59.40,10.00,13.22,3.01,22.80,24.16,161,808691.80,3455994.00
13073,33.54858,-82.26123,66031,30.60,23.90,5.50,3.49,6.60,10.93,52,942527.90,3722100.00
13075,31.15478,-83.43077,13456,62.00,6.50,13.14,1.89,22.40,29.94,160,839816.10,3449007.00
13077,33.35261,-84.76260,53853,76.10,13.30,9.85,0.80,11.40,22.59,62,705457.90,3694344.00
13079,32.70982,-83.97968,8991,100.00,5.70,9.21,1.01,14.00,30.66,89,783416.50,3623343.00
13081,31.92540,-83.77159,20011,48.40,10.00,12.47,0.30,29.00,40.66,128,805648.40,3537103.00
13083,34.85462,-85.50471,13147,96.50,8.00,10.35,0.75,14.60,0.35,9,635964.30,3854592.00
13085,34.44001,-84.17119,9429,100.00,8.60,8.89,0.59,12.80,0.29,16,764386.10,3812502.00
13087,30.87876,-84.57963,25511,58.00,11.70,13.02,1.54,23.30,39.47,166,732628.40,3421800.00
13089,33.77095,-84.22701,545837,2.50,32.70,8.13,6.69,9.90,42.23,41,759231.90,3735253.00
13091,32.17328,-83.16624,17607,70.70,8.00,13.13,0.34,21.80,27.64,109,860451.40,3569933.00
13093,32.16092,-83.79837,9901,72.60,9.50,13.76,0.50,32.90,48.98,116,800031.30,3564188.00
13095,31.53832,-84.21578,96311,10.00,17.00,9.66,0.94,24.40,50.15,148,764116.90,3494367.00
13097,33.70030,-84.76729,71120,26.70,12.00,6.68,1.34,6.60,7.63,47,707288.70,3731361.00
13099,31.33042,-84.90920,11854,52.80,9.40,14.86,0.24,31.40,44.09,152,703495.10,3467152.00
13101,30.71670,-82.89896,2334,100.00,4.70,9.77,1.63,14.60,11.48,173,896654.00,3401148.00
13103,32.37038,-81.34348,25687,89.10,7.60,7.87,0.69,12.70,14.03,99,1031899.00,3596117.00
13105,34.11500,-82.83977,18949,70.00,8.00,13.78,0.84,19.70,29.99,28,879541.20,3785425.00
13107,32.58694,-82.30417,20546,64.20,9.10,13.32,0.41,25.70,32.58,90,943066.20,3616602.00
13109,32.15807,-81.89087,8724,100.00,8.60,13.00,0.48,25.40,33.88,117,981727.80,3571315.00
13111,34.86415,-84.31928,15992,100.00,7.80,17.30,0.58,17.20,0.03,4,739255.80,3866604.00
13113,33.41496,-84.49289,62415,53.90,25.80,6.99,2.85,2.60,5.13,58,731468.70,3700612.00
13115,34.26330,-85.21503,81251,36.10,13.70,13.84,1.09,13.60,13.56,18,662257.40,3789664.00
13117,34.22378,-84.12672,44083,93.70,15.60,8.38,1.17,6.80,0.00,26,765397.30,3789005.00
13119,34.37329,-83.22767,16650,87.20,9.50,14.59,0.44,16.50,9.89,20,845701.30,3813323.00
13121,33.78940,-84.46716,648951,4.20,31.60,9.63,4.13,18.40,49.92,31,733728.40,3733248.00
13123,34.68824,-84.45786,13368,100.00,8.60,12.91,0.45,16.60,0.26,10,732702.30,3844809.00
13125,33.23108,-82.60694,2357,100.00,5.30,13.28,0.42,16.80,12.69,69,908386.80,3685752.00
13127,31.21695,-81.49423,62496,20.30,19.90,13.20,1.37,14.30,25.57,156,1023411.00,3471063.00
13129,34.50423,-84.87158,35072,79.70,9.20,10.09,0.64,11.10,3.78,15,695325.10,3822135.00
13131,30.87507,-84.23294,20279,55.40,7.70,13.84,0.74,22.30,31.50,167,765058.10,3421817.00
13133,33.58125,-83.16757,11793,75.70,8.80,13.49,0.50,25.10,49.89,49,855577.30,3722330.00
13135,33.95895,-84.02510,352910,13.60,29.60,4.51,5.05,4.00,5.11,32,772634.60,3764306.00
13137,34.63045,-83.52933,27621,88.50,12.00,12.31,2.92,11.60,5.42,11,818917.10,3839931.00
13139,34.31584,-83.82089,95428,81.10,15.40,10.25,4.60,10.60,8.48,21,794419.50,3803344.00
13141,33.26958,-83.00084,8908,100.00,6.80,12.39,0.27,30.10,79.64,64,873518.80,3689861.00
13143,33.79101,-85.20900,21966,67.80,7.50,12.62,0.69,14.40,6.47,44,665933.80,3740622.00
13145,32.74074,-84.90607,17788,95.80,13.60,13.00,1.11,13.70,25.49,88,695500.60,3624790.00
13147,34.35335,-82.95916,19712,73.80,9.10,15.08,0.32,14.20,20.41,22,870749.90,3810303.00
13149,33.29966,-85.12921,8628,100.00,5.70,12.03,0.35,19.10,13.38,66,675280.40,3685569.00
13151,33.45610,-84.15540,58741,76.00,10.70,7.77,0.98,6.10,10.24,55,763488.40,3699716.00
13153,32.45833,-83.66835,89208,20.90,16.00,7.30,2.25,10.60,21.80,95,814118.90,3590553.00
13155,31.60234,-83.27429,8649,63.40,8.30,14.45,0.15,27.20,30.50,145,855461.80,3506293.00
13157,34.13332,-83.56274,30005,78.00,9.00,11.23,0.62,14.10,9.58,27,815753.10,3783949.00
13159,33.31630,-83.68734,8453,100.00,10.80,13.12,0.99,17.40,34.80,61,807249.10,3695092.00
13161,31.80159,-82.63599,12032,65.10,8.30,10.53,0.64,18.80,15.36,131,915741.90,3530869.00
13163,33.05398,-82.41530,17408,100.00,6.20,13.36,0.40,31.30,55.92,70,924108.10,3668080.00
13165,32.78866,-81.96042,8247,53.80,7.70,13.10,0.21,27.80,41.51,84,970465.70,3640263.00
13167,32.70222,-82.65617,8329,100.00,4.90,13.86,0.29,22.20,33.89,91,908636.70,3624562.00
13169,33.02648,-83.56610,20739,81.90,12.00,8.54,0.52,10.80,25.60,80,821367.10,3660143.00
13171,33.07300,-84.13522,13038,63.60,10.00,12.62,0.34,16.30,34.03,77,766461.70,3663959.00
13173,31.03705,-83.06327,5531,100.00,5.40,10.83,0.85,25.90,26.58,163,873804.30,3439981.00
13175,32.46285,-82.92951,39988,52.90,12.00,12.39,0.49,20.50,33.32,93,884830.40,3599291.00
13177,31.77659,-84.13731,16250,78.20,13.70,6.50,0.70,12.60,19.22,136,770455.50,3520161.00
13179,31.80000,-81.46192,52745,32.90,13.40,3.38,3.85,17.20,39.15,127,1014742.00,3537225.00
13181,33.79269,-82.45213,7442,100.00,8.20,14.27,0.26,17.80,38.19,40,919396.50,3752562.00
13183,31.75881,-81.74702,6202,100.00,5.20,8.53,2.02,23.70,21.75,129,1004544.00,3517834.00
13185,30.83468,-83.26782,75981,47.60,16.30,8.99,1.53,19.90,31.88,172,864781.10,3419313.00
13187,34.57450,-84.00225,14573,78.60,11.10,9.29,0.76,15.30,1.41,13,772600.00,3832429.00
13189,33.47773,-82.48190,20119,65.90,10.40,11.16,0.22,21.60,36.38,53,917730.90,3716368.00
13191,31.47999,-81.37239,8634,100.00,8.70,12.80,0.27,22.30,43.34,147,1030500.00,3500535.00
13193,32.35407,-84.03763,13114,65.60,10.10,12.05,0.98,29.20,58.72,105,777055.30,3584821.00
13195,34.12847,-83.20978,21050,100.00,9.70,10.98,0.81,15.70,8.32,29,848638.80,3785405.00
13197,32.35272,-84.52615,5590,100.00,4.60,12.02,0.43,28.20,41.32,101,732876.80,3584393.00
13199,33.04341,-84.68501,22411,82.30,6.70,12.79,0.31,22.40,44.62,73,715359.80,3660275.00
13201,31.16450,-84.72942,6280,100.00,8.20,15.16,0.41,22.10,27.48,162,716369.80,3451034.00
13205,31.22383,-84.19464,20275,56.20,7.80,12.31,0.58,28.70,47.91,157,766238.60,3453930.00
13207,33.01281,-83.91312,17113,75.10,12.90,9.60,0.93,13.80,31.78,78,790338.70,3660608.00
13209,32.16757,-82.52981,7163,98.60,10.10,12.26,1.44,24.50,28.27,112,920887.40,3568473.00
13211,33.59285,-83.49307,12883,73.00,11.00,12.69,0.83,15.00,34.74,45,825920.10,3717990.00
13213,34.78193,-84.74823,26147,89.00,5.50,7.69,0.50,11.30,0.26,3,707834.30,3854188.00
13215,32.51071,-84.87497,179278,3.20,16.60,10.31,3.40,18.60,37.95,98,700833.70,3598228.00
13217,33.55318,-83.84438,41808,76.00,9.50,10.14,0.78,14.40,22.35,50,793263.90,3719734.00
13219,33.83733,-83.43728,17618,95.20,28.40,8.67,0.98,7.90,7.37,42,830735.90,3750903.00
13221,33.88098,-83.08201,9763,100.00,12.80,11.37,0.62,16.20,24.74,37,863291.80,3756777.00
13223,33.92253,-84.86584,41611,93.70,7.60,7.12,0.66,8.80,3.94,35,695329.20,3758093.00
13225,32.56372,-83.82774,21189,61.30,15.20,10.03,1.62,24.00,47.53,94,798061.40,3609091.00
13227,34.46452,-84.46498,14432,100.00,9.00,12.44,0.20,12.80,1.48,19,733846.70,3812828.00
13229,31.35624,-82.21519,13328,74.40,6.30,11.07,0.70,21.30,11.69,151,953533.80,3482044.00
13231,33.09090,-84.38639,10224,100.00,9.30,11.94,0.82,13.40,20.04,76,744180.80,3665561.00
13233,33.99916,-85.18202,33815,66.50,6.80,13.72,0.95,16.30,14.30,34,668031.40,3764766.00
13235,32.23708,-83.47360,8108,56.50,10.70,14.15,1.76,24.30,32.46,111,833819.60,3567447.00
13237,33.32057,-83.37302,14137,66.50,11.70,11.61,1.85,16.40,32.79,63,840169.10,3695254.00
13239,31.85898,-85.01192,2209,100.00,7.30,17.07,0.95,33.00,49.93,130,686875.40,3524124.00
13241,34.88129,-83.40143,11648,100.00,11.60,17.18,1.13,13.60,0.35,1,824645.50,3864805.00
13243,31.76276,-84.75803,8023,53.50,6.00,16.08,0.86,35.90,58.17,134,712437.10,3519627.00
13245,33.35938,-82.07400,189719,9.90,17.30,9.35,3.01,18.20,41.96,59,954272.30,3697862.00
13247,33.65017,-84.02657,54091,59.20,18.10,7.64,2.01,6.20,8.03,48,777759.00,3729605.00
13249,32.26283,-84.32046,3588,100.00,8.00,13.38,0.25,19.90,34.09,110,752973.10,3570222.00
13251,32.74871,-81.61441,13842,79.30,8.60,14.02,0.61,22.90,44.69,81,1004028.00,3641918.00
13253,30.93315,-84.86705,9010,69.40,7.80,14.20,5.69,29.10,32.74,171,704495.60,3422002.00
13255,33.26204,-84.28494,54457,53.60,11.10,11.12,0.77,15.60,29.08,67,754916.20,3685029.00
13257,34.55581,-83.29396,23257,64.50,13.10,14.88,1.09,17.00,11.81,14,842085.90,3827075.00
13259,32.07813,-84.83704,5654,100.00,8.00,16.29,0.16,31.40,63.46,120,703256.80,3552857.00
13261,32.04234,-84.19643,30228,45.40,15.90,11.45,0.59,24.80,46.53,122,763457.10,3551752.00
13263,32.70756,-84.52831,6524,97.90,7.10,13.50,0.34,24.90,62.34,87,734217.90,3623162.00
13265,33.56681,-82.88324,1915,100.00,5.60,19.22,0.78,31.90,61.36,51,884376.90,3717493.00
13267,32.04266,-82.06064,17722,79.30,6.50,12.50,2.05,21.90,29.19,114,963427.80,3560039.00
13269,32.55433,-84.25144,7642,100.00,7.10,14.43,0.48,29.50,43.21,92,759410.80,3608179.00
13271,31.93476,-82.94098,11000,72.60,8.60,16.25,0.04,27.30,34.45,125,882069.40,3534470.00
13273,31.77555,-84.43589,10653,50.30,9.20,14.18,0.25,29.10,59.90,132,743031.80,3522636.00
13275,30.86482,-83.91853,38986,55.20,13.40,13.30,0.72,22.60,37.93,168,795506.20,3421725.00
13277,31.45664,-83.52609,34998,51.10,14.00,10.69,2.77,22.90,26.68,150,831682.30,3487715.00
13279,32.12311,-82.33542,24072,35.70,11.40,11.65,0.90,24.00,23.38,113,941734.40,3567586.00
13281,34.91864,-83.73908,6754,100.00,11.40,22.96,1.36,14.00,0.00,2,797981.70,3872640.00
13283,32.40461,-82.56510,5994,53.30,6.30,14.98,0.13,27.10,33.10,107,919077.60,3595170.00
13285,33.03331,-85.02819,55536,44.00,13.60,12.93,0.99,16.30,30.03,75,682616.80,3660254.00
13287,31.71623,-83.62740,8703,44.50,7.20,13.56,0.35,31.30,40.66,137,819399.60,3514927.00
13289,32.66598,-83.42609,9806,100.00,4.80,10.43,0.22,26.00,45.93,86,832935.00,3623868.00
13291,34.83436,-83.99088,11993,100.00,10.10,17.55,0.88,18.30,0.10,7,777040.10,3858779.00
13293,32.87929,-84.29827,26300,65.30,9.00,14.81,0.57,14.70,27.78,83,752165.20,3639192.00
13295,34.73090,-85.29630,58340,44.80,8.40,12.80,0.42,12.80,3.73,8,658870.40,3842167.00
13297,33.78311,-83.73768,38586,61.20,9.40,10.64,0.65,13.20,18.37,43,800384.30,3742691.00
13299,31.05156,-82.42208,35471,54.20,10.40,13.89,0.62,21.10,25.88,154,938349.60,3446675.00
13301,33.40820,-82.67637,6078,100.00,4.20,14.81,0.49,32.60,60.23,56,902471.10,3699878.00
13303,32.96775,-82.79487,19112,67.10,9.80,12.35,0.20,21.60,51.86,72,894704.30,3648583.00
13305,31.54758,-81.91326,22356,59.90,9.60,10.88,0.50,21.20,19.45,140,986832.80,3494323.00
13307,32.04852,-84.55046,2263,100.00,5.50,14.49,0.09,22.50,50.20,121,731576.30,3544716.00
13309,32.12226,-82.71677,4903,100.00,8.60,15.07,0.35,30.30,30.06,115,898776.30,3563384.00
13311,34.64537,-83.75252,13006,100.00,13.60,13.81,1.18,12.50,2.59,12,796905.60,3841086.00
13313,34.80497,-84.96616,72462,70.00,12.00,9.48,2.55,11.10,4.06,6,686891.40,3855274.00
13315,31.97034,-83.43574,7008,100.00,7.60,15.71,0.09,28.60,31.76,124,838551.50,3538547.00
13317,33.78664,-82.74436,10597,59.60,10.40,16.64,0.43,22.60,45.94,39,891228.50,3749769.00
13319,32.79853,-83.16759,10228,100.00,8.80,11.36,0.29,15.30,41.99,82,858796.90,3637891.00
13321,31.55269,-83.84816,19745,71.10,6.30,11.50,0.59,26.20,30.71,139,801018.10,3487328.00
